,Country,Code,Year,Continent,Gender,Percentage,Longitude,Latitude
456,Taiwan,TWN,2019,,Males,,121,23.5
457,Taiwan,TWN,2019,,Females,,121,23.5
458,Tajikistan,TJK,2019,,Males,,71,39
459,Tajikistan,TJK,2019,,Females,,71,39
460,Tanzania,TZA,2019,,Males,14.89999962,35,-6
461,Tanzania,TZA,2019,,Females,3.5,35,-6
462,Thailand,THA,2019,,Males,41.90000153,100,15
463,Thailand,THA,2019,,Females,3,100,15
464,Timor,TLS,2019,,Males,68.40000153,125.5167,-8.55
465,Timor,TLS,2019,,Females,11.19999981,125.5167,-8.55
466,Togo,TGO,2019,,Males,12.80000019,1.1667,8
467,Togo,TGO,2019,,Females,1.299999952,1.1667,8
468,Tokelau,TKL,2019,,Males,,-172,-9
469,Tokelau,TKL,2019,,Females,,-172,-9
470,Tonga,TON,2019,,Males,47,-175,-20
471,Tonga,TON,2019,,Females,15.19999981,-175,-20
472,Trinidad and Tobago,TTO,2019,,Males,,-61,11
473,Trinidad and Tobago,TTO,2019,,Females,,-61,11
